Wav_id,H_MaxP,A_MaxP,H_Max,A_Max,AUO_Left_H_70,AUO_Right_H_50,AUO_Right_H_60,AUO_Right_H_70,AUO_Left_A_70,AUO_Right_A_50,AUO_Right_A_60,AUO_Right_A_70,W_Left_H_70,W_Right_H_50,W_Right_H_60,W_Right_H_70,W_Left_A_70,W_Right_A_50,W_Right_A_60,W_Right_A_70,Mean_beat_highcP,Mean_beat_lowcP,Mean_beat_medcP,Mean_beat_Slope_until_50,Mean_beat_Slope_until_70
85,88.1043214776369,88.1043214776369,3.08651607948755,1.43355724240963,1.85582633750441,11.6625057665029,8.02959679537815,4.17048519235989,1.9619884708872,6.60386224618538,3.91148413630743,2.01134459858231,10.6234938358182,40.133198935313,35.4116461193938,30.6900933034747,10.6234938358182,30.6900933034747,25.9685404875555,14.1646584477575,0.277194764448979,0.496014161006533,0.496754677208444,7.92212075458347,9.60877752252931
86,93.3300555104921,95.2066557866423,3.82033858154055,1.55102485671965,2.15636192315658,6.8060365321465,4.26051449090004,2.47175011035552,2.26499058210313,5.10167214172753,2.94707682654202,1.60179454840035,13.1362019330516,30.0256044184036,24.3958035899529,18.7660027615022,14.0745020711267,23.4575034518778,16.889402485352,11.2596016569013,0.345970174598944,0.466552252333963,0.495151965891519,12.4317751906988,14.3178655421569
87,105.10404990979,106.358299607484,6.41522459540464,1.5871248202997,2.94169270816771,10.3649731488066,6.54918218527994,4.25963999115532,3.50031375999712,9.17225798051451,5.9885776770417,4.06375434832319,15.0509963723196,37.627490930799,30.1019927446392,26.3392436515593,16.3052460700129,31.3562424423325,27.5934933492526,25.084993953866,0.3399225264108,0.396417093177964,0.385073945709021,13.9606778557437,15.6194452302367
88,91.6776144332717,91.6776144332717,3.50920516859449,1.58992150798599,1.70305066389896,6.23770000408539,3.99640792457486,2.37834491829499,1.4569982001953,3.82408211511519,2.5700530962278,1.38518528185801,8.79061656696123,22.4649090044565,19.5347034821361,16.6044979598157,7.81388139285443,15.6277627857089,12.6975572633885,9.76735174106804,0.338407687829488,0.563955442637809,0.527036248273702,18.074957619171,20.1746203015734
89,93.3767399033017,91.0731586950698,4.61028956605128,1.98452521599809,2.45584542554525,8.92743568021442,6.15052012243707,4.10756116728187,1.87247869256843,6.29515529817285,3.99265581816743,2.45072804419319,12.2857664439033,30.7144161097583,27.6429744987825,23.8036724850627,9.98218523567147,24.5715328878067,20.7322308740869,16.8929288603671,0.382821425021124,0.501426946961909,0.483346611751327,19.0952280405405,21.6948453456522
90,97.3491249455396,96.2667082232402,6.50915254178525,2.48691701950985,2.15255214195448,7.53755957491288,5.37290579341131,2.91260881951454,1.665340657748,6.16620571978251,3.86363418446379,2.63421604596013,11.9065839452938,24.8955846128869,22.7307511682881,19.4835010013898,9.74175050069491,21.6483344459887,18.4010842790904,16.2362508344915,0.344742052063487,0.473783753769792,0.450673461321403,17.2621745877273,19.8420133569508
91,88.7299225558963,88.7299225558963,4.28620565980582,1.89829216189378,1.94356801452152,8.94910866167487,6.96085808045731,5.17288634530593,1.79490983375882,6.06246572842706,4.94763557167157,2.86701969573448,10.7107546103376,26.7768865258439,25.8843236416491,24.9917607574543,9.81819172614279,24.9917607574543,24.0991978732595,21.4215092206751,0.444740710887564,0.484504173047066,0.485735232512893,22.2079165971197,23.2099439662171
92,95.365574043724,85.1029744270929,4.31848095332712,1.65102495007848,4.63500177166313,7.75460101329498,5.14120702713501,3.19486333559351,2.53857775325353,10.3618676204746,7.10688097137086,4.40344589363151,22.2356325027006,29.0773655804546,23.0908491374199,17.9595493291043,12.8282495207888,32.4982321193316,28.2221489457354,24.8012824068583,0.321333825992518,0.454310227388332,0.394598563630927,10.584358877902,12.0597992477257
93,94.044881648865,81.2459213781167,4.07286522672262,1.60958153225648,4.85055797719765,7.14574564768281,4.65186445052929,2.54420007999021,2.30809965741412,11.81303899165,8.30741639366876,4.77541152967047,22.8552861977649,29.2547663331391,22.8552861977649,17.3700175103013,12.7989602707483,37.4826693643344,32.9116121247814,28.3405548852284,0.317729785982622,0.479973323894223,0.363332190877405,13.3293008933406,14.8181024290628
94,79.9945664450799,79.9945664450799,3.86017985745083,1.42446961583597,2.52483422161236,8.66860826083502,5.91629504423099,3.33676891998175,2.41030138178819,5.53433337370747,3.56354890312627,1.98837316112057,13.5374558746457,32.8766785527111,29.008834017098,24.1740283475817,12.5704947407425,24.1740283475817,18.3722615441621,13.5374558746458,0.31659930542499,0.417737091082227,0.433802796835289,10.5801815689304,12.1081459876045
95,78.9579781614515,77.413434624455,3.97021996475204,1.488336201132,2.81535820453226,8.65197593215448,5.3759342405005,3.22807888446267,2.14262241479797,6.0905424743172,3.96836477559865,2.29715247019405,16.2177071384632,33.2076860454247,27.8017836659369,21.6236095179509,12.356348295972,23.1681530549474,18.534522443958,14.6731636014667,0.305810380792732,0.428439043380678,0.396909939377772,13.3293008933406,14.7863175675676
96,105.274907044096,90.2620981442223,6.60900094449756,2.58147746393976,6.29240684968932,8.16879445500017,5.51849864794041,2.99213506308203,1.94019761432717,9.2731597107862,6.5233557776801,4.10373386679958,27.2960161815885,30.0256177997474,24.5664145634297,20.4720121361914,10.9184064726354,36.8496218451445,34.1200202269857,30.0256177997474,0.325016846394098,0.509532445689502,0.404035140186024,29.1357832064133,27.4240013087232
97,100.109784466131,91.5690999726179,7.01110732709521,2.9378028019713,4.9153404278049,9.90065136032092,6.423764634219,4.2981918440566,2.09794957647595,7.40524228196752,5.37728264948642,2.84310738757421,21.3517112337817,34.1627379740507,28.4689483117089,25.622053480538,11.3875793246836,34.1627379740507,31.3158431428798,21.3517112337817,0.30633451254502,0.500843277225173,0.435802812801089,26.2377855185027,25.7112755764312
98,91.7758585418877,88.7239876874031,8.07191041274168,2.80088757523084,3.03330232298149,8.2679064589941,5.59168302521249,3.0972352125896,1.77914884640021,6.41591731035265,3.99714047976996,2.32109538379147,15.2593542724232,36.6224502538157,32.0446439720887,19.8371605541502,10.6815479906962,24.4149668358771,21.3630959813925,18.3112251269078,0.339452514599374,0.457735175760008,0.451357285641907,27.3798319863839,25.8457889763079
99,88.1699884462768,88.1699884462768,8.30207242231879,2.74098352592259,2.30649266122153,8.96892193842664,6.60710850659359,4.50866741020328,2.15720096265429,6.5203790456234,4.29189299464626,2.0548576425187,13.8637019122414,33.2728845893793,30.5001442069311,24.9546634420345,12.4773317210173,26.3410336332587,20.7955528683621,16.6364422946897,0.333475048677127,0.440082597275552,0.465879811374612,25.3345409195918,25.3283851065359
100,142.931592502102,104.980672461743,6.00443262445002,2.70944054807805,13.8870291422589,8.59090482751341,5.90322344210757,3.52842955306844,2.54677501124385,14.2097104588552,9.12685628389324,5.49672176441064,54.0070785189718,33.5719677280095,27.7333646448774,21.8947615617453,14.5965077078302,59.8456816021039,54.0070785189718,39.4105708111416,0.320870603098799,0.503407546175859,0.331236553137865,27.4449336367075,27.1026353558268
101,122.708918335165,103.774367888349,6.09442036254437,2.79402102817683,7.42541463584968,14.4691433199751,10.0067299401017,6.12644395903589,2.66765662872805,13.2884808779024,8.52724250368089,5.14913528473738,34.082190804268,44.1806177092362,39.1314042567521,34.082190804268,15.1476403574524,53.0167412510835,44.1806177092362,34.082190804268,0.312106485510589,0.501003626208011,0.397831749555942,23.8286200024976,24.4448830322052
102,124.47222785141,109.752995305477,7.35803721414293,3.07745671531373,6.98281208027723,11.7674042838829,8.05827273376371,4.59759694874399,2.55981861162263,11.8643030562301,7.87202863091145,4.05677170780037,30.910388346458,42.6857743832038,35.3261581102376,29.4384650918647,14.7192325459324,48.5734674015768,42.6857743832039,27.9665418372715,0.322105830669153,0.480848495700058,0.386824417016424,23.1472158499058,24.3008477670775
103,108.753186912556,107.313824106177,7.52698402640061,3.01633955152784,2.7162148979213,17.5782757231331,12.1587136779802,7.11573191452274,2.52779683514988,10.5153390228213,6.98363646014274,3.37881069985266,15.8329908701759,57.5745122551851,50.3776982232869,43.1808841913888,14.3936280637963,51.8170610296665,40.3021585786295,25.9085305148333,0.314663783103098,0.463007836282118,0.453282200146108,23.1134010513476,24.9412803321991
104,140.73623004988,93.8538470778172,4.13678266702485,2.184945325139,10.7851563705111,8.20495672296163,5.93475889611447,3.06386310871,2.42845933285315,19.0519232195816,13.0647959871277,7.97555735148422,56.2588595664752,31.2549219813751,26.5666836841689,20.3156992878938,12.5019687925501,67.1980822599565,62.5098439627502,56.2588595664752,0.320403609164021,0.618446823691213,0.350957114740709,23.6104103069308,20.7652987714168
105,102.48387243302,94.7747690050037,5.21848075948981,2.39424186158765,4.85953810990197,10.6869581273526,7.67552753640278,4.9480806609664,2.38549957839865,8.88778233566194,5.78083522940849,3.10014005068024,21.8424597127119,38.5455171400799,35.9758159974079,32.1212642833999,12.84850571336,39.8303677114159,33.4061148547359,20.5576091413759,0.303068793045705,0.514835693981404,0.427802548441951,15.0066455586376,16.7858514726055
